Lamar,Lamar,Allen,Burrow,Lamar,Lamar,Burrow,Allen,Mahomes,Lamar,Lamar,Lamar,Lamar,Allen,Lamar,Allen,Daniels,Lamar,Allen,Lamar
Burrow,Allen,Lamar,Allen,Allen,Allen,Allen,Lamar,Hurts,Allen,Allen,Allen,Allen,Lamar,Allen,Lamar,Lamar,Daniels,Mahomes,Mahomes
Allen,Burrow,Burrow,Lamar,Burrow,Burrow,Lamar,Burrow,Burrow,Burrow,Burrow,Daniels,Herbert,Daniels,Burrow,Mahomes,Allen,Mahomes,Lamar,Allen
Daniels,Purdy,Purdy,Daniels,Daniels,Daniels,Daniels,Kyler,Lamar,Stroud,Goff,Burrow,Daniels,Mahomes,Mahomes,Goff,Nix,Allen,Daniels,Hurts
Baker,Daniels,Mahomes,Baker,Dak,Baker,Baker,Mahomes,Daniels,Goff,Darnold,Goff,Geno,Goff,Daniels,Daniels,Mahomes,Burrow,Nix,Goff
