ID,W,G,H,1B,2B,3B,HR,BB,SO,SB,BA,SLG,OPS,OBA
629,95,162,1615,1041,325,33,216,591,960,119,0.286043216,0.470067304,0.825759321,0.355692017
631,79,162,1553,1028,307,41,177,562,982,83,0.275159461,0.438164422,0.780812882,0.34264846
633,69,162,1516,1026,325,49,116,556,1021,90,0.269991095,0.40730187,0.744044718,0.336742848
635,71,162,1601,1063,330,35,173,580,922,69,0.283463173,0.446175637,0.79771958,0.351543943
637,92,162,1494,967,284,35,208,587,1052,71,0.267024129,0.441823056,0.782540188,0.340717131
639,88,162,1409,915,268,32,194,577,1077,67,0.26063633,0.429707732,0.765990918,0.336283186
641,73,162,1663,1065,324,61,213,511,1027,132,0.292267135,0.482952548,0.837040001,0.354087452
643,93,162,1500,950,313,29,208,581,1119,64,0.271345876,0.45133864,0.798316574,0.346977934
645,68,162,1378,866,273,30,209,488,1399,66,0.251093294,0.426020408,0.744613208,0.3185928
647,82,162,1361,923,273,18,147,545,1062,66,0.249313061,0.386700861,0.709603875,0.322903014
649,62,162,1333,891,256,25,161,467,1106,93,0.246943312,0.393108559,0.705996107,0.312887548
651,90,162,1493,914,304,40,235,625,1090,57,0.266037063,0.460085531,0.801987439,0.341901908
653,75,162,1447,988,275,26,158,494,1001,116,0.260673752,0.404972077,0.731773697,0.326801619
655,83,162,1463,920,300,29,214,520,998,123,0.267752562,0.450768668,0.785087708,0.334319041
657,66,162,1439,949,291,60,139,466,972,133,0.259888026,0.409427488,0.729925603,0.320498116
659,85,162,1514,984,328,38,164,495,1083,146,0.272302158,0.433453237,0.770143184,0.336689946
661,116,162,1637,1120,310,38,169,614,989,174,0.288204225,0.445422535,0.805366513,0.359943978
663,73,162,1566,971,326,23,246,548,1093,97,0.275461741,0.470712401,0.814732517,0.344020116
665,98,162,1471,982,283,41,165,643,1016,92,0.267066086,0.423202614,0.769221163,0.346018548
667,78,162,1386,899,297,21,169,583,1188,116,0.253382084,0.408043876,0.738454657,0.330410781
669,79,162,1433,975,280,32,146,595,1130,177,0.26073508,0.403020378,0.739901527,0.336881148
671,92,162,1464,994,286,29,155,428,940,96,0.263593806,0.409254591,0.729208531,0.31995394
673,83,162,1432,934,300,36,162,575,1104,118,0.261361562,0.417959482,0.752215424,0.334255943
675,95,162,1465,932,300,35,198,616,961,74,0.266509005,0.441877388,0.786339667,0.344462279
677,99,162,1603,1086,333,32,152,462,805,117,0.282317718,0.432546671,0.773260274,0.340713603
679,93,162,1560,1002,348,33,177,545,944,80,0.276595745,0.444148936,0.78915686,0.345007924
681,74,162,1349,876,255,26,192,542,1000,52,0.248755301,0.411580306,0.732867435,0.321287129
683,103,162,1450,938,279,28,205,609,1008,46,0.260885211,0.431810004,0.770990358,0.339180354
685,72,162,1510,949,304,27,230,554,1055,62,0.268778925,0.455322179,0.79364172,0.338319542
