ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
2,A.J. Cole\coleaj01,-0.1,2016,24,WSN,NL,8,8,7,0,0,0,0,0,0.0,0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,/*1
3,A.J. Ellis\ellisaj01,-0.1,2016,35,TOT,NL,64,196,171,11,37,8,0,2,22.0,19,2.0,31.0,2.0,3.0,1.0,5.0,2.0,1.0,0.216,0.301,0.298,0.599,*2/H
5,A.J. Morris\morriaj01,0.0,2016,29,CIN,NL,7,1,1,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/*1
6,A.J. Pierzynski\pierza.01,-1.3,2016,39,ATL,NL,81,259,247,15,54,15,0,2,23.0,6,1.0,29.0,3.0,0.0,3.0,13.0,1.0,0.0,0.219,0.243,0.304,0.547,*2H
7,A.J. Pollock\polloaj01,0.5,2016,28,ARI,NL,12,46,41,9,10,0,0,2,4.0,5,0.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,0.244,0.326,0.39,0.716,*8
8,A.J. Ramos\ramosaj01,0.0,2016,29,MIA,NL,67,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,*1
10,A.J. Schugel\schugaj01,0.0,2016,27,PIT,NL,36,3,2,0,0,0,0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*1
11,Aaron Altherr\altheaa01,-0.2,2016,25,PHI,NL,57,227,198,23,40,6,0,4,23.0,23,2.0,69.0,6.0,0.0,0.0,4.0,7.0,2.0,0.202,0.304,0.293,0.597,*978/H
12,Aaron Blair\blairaa01,-0.2,2016,24,ATL,NL,15,23,21,0,1,0,0,0,0.0,0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.048,0.048,0.048,0.095,*1
17,Aaron Nola\nolaaa01,-0.2,2016,23,PHI,NL,20,35,30,1,1,1,0,0,0.0,3,0.0,17.0,1.0,1.0,0.0,1.0,0.0,0.0,0.033,0.147,0.067,0.214,*1
19,Abel De Los Santos\delosab01,0.0,2016,23,CIN,NL,5,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,/*1
22,Adam Conley\conlead01,-0.2,2016,26,MIA,NL,25,47,41,4,5,0,0,0,3.0,1,0.0,22.0,0.0,4.0,1.0,1.0,0.0,0.0,0.122,0.14,0.122,0.261,*1
23,Adam Duvall\duvalad01,3.2,2016,27,CIN,NL,150,608,552,85,133,31,6,33,103.0,41,1.0,164.0,6.0,0.0,8.0,7.0,6.0,5.0,0.241,0.297,0.498,0.795,*7/93H5
25,Adam Frazier\fraziad01,0.5,2016,24,PIT,NL,66,160,146,21,44,8,1,2,11.0,12,0.0,26.0,1.0,0.0,1.0,0.0,4.0,1.0,0.301,0.356,0.411,0.767,H749/58
27,Adam Liberatore\liberad01,0.0,2016,29,LAD,NL,58,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,*1
29,Adam Loewen\loewead01,0.0,2016,32,ARI,NL,8,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,/*1
31,Adam Morgan\morgaad01,-0.1,2016,26,PHI,NL,23,36,32,1,3,1,0,0,1.0,1,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.094,0.121,0.125,0.246,*1
32,Adam Ottavino\ottavad01,0.0,2016,30,COL,NL,34,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,*1
34,Adam Rosales\rosalad01,1.7,2016,33,SDP,NL,105,248,214,37,49,12,3,13,35.0,29,2.0,88.0,1.0,0.0,4.0,2.0,4.0,0.0,0.229,0.319,0.495,0.814,54H6/739D
35,Adam Wainwright\wainwad01,0.9,2016,34,STL,NL,34,69,62,6,14,8,1,2,18.0,2,0.0,17.0,0.0,5.0,0.0,1.0,0.0,0.0,0.226,0.25,0.484,0.734,*1/H
37,Addison Reed\reedad01,0.0,2016,27,NYM,NL,80,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,*1
38,Addison Russell\russead02,4.3,2016,22,CHC,NL,151,598,525,67,125,25,3,21,95.0,55,6.0,135.0,12.0,0.0,6.0,11.0,5.0,1.0,0.238,0.321,0.417,0.738,*6/H
39,Adeiny Hechavarria\hechaad01,1.2,2016,27,MIA,NL,155,547,508,52,120,17,6,3,38.0,33,7.0,73.0,1.0,2.0,3.0,10.0,1.0,0.0,0.236,0.283,0.311,0.594,*6/H
40,Adonis Garcia\garciad01,0.2,2016,31,ATL,NL,134,563,532,65,145,29,0,14,65.0,24,4.0,93.0,6.0,0.0,0.0,18.0,3.0,2.0,0.273,0.311,0.406,0.717,*5/H7D
42,Adrian Gonzalez\gonzaad01,2.1,2016,34,LAD,NL,156,633,568,69,162,31,0,18,90.0,55,9.0,117.0,4.0,0.0,6.0,16.0,0.0,2.0,0.285,0.349,0.435,0.784,*3/HD
45,Albert Almora\almoral01,0.7,2016,22,CHC,NL,47,117,112,14,31,9,1,3,14.0,5,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.277,0.308,0.455,0.763,*8H/79
47,Albert Suarez\suareal01,0.1,2016,26,SFG,NL,22,24,21,1,4,2,0,0,2.0,0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.19,0.19,0.286,0.476,*1
48,Alberto Rosario\rosaral01,-0.2,2016,29,STL,NL,20,41,38,3,7,2,0,0,2.0,2,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.184,0.225,0.237,0.462,*2/H5
