ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
72,Antonio Bastardo\bastaan01,0.0,2010,24,PHI,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
73,Aramis Ramirez\ramirar01,-0.8,2010,32,CHC,NL,124,507,465,61,112,21,1,25,83,34,3,90,3,0,5,10,0,0,0.241,0.294,0.452,0.745,*5/HD
74,Argenis Diaz\diazar01,-0.4,2010,23,PIT,NL,22,36,33,0,8,1,0,0,2,3,1,10,0,0,0,1,0,1,0.242,0.306,0.273,0.578,*6/H
77,Aroldis Chapman\chapmar01,0.0,2010,22,CIN,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
78,Arthur Rhodes\rhodear01,0.0,2010,40,CIN,NL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
80,Aubrey Huff\huffau01,5.7,2010,33,SFG,NL,157,668,569,100,165,35,5,26,86,83,5,91,9,0,7,17,7,0,0.29,0.385,0.506,0.891,*379/H
81,Augie Ojeda\ojedaau01,-0.3,2010,35,ARI,NL,59,92,79,6,15,3,0,0,5,8,0,8,0,3,2,3,0,1,0.19,0.258,0.228,0.486,*H45/6
84,Barry Enright\enrigba01,0.2,2010,24,ARI,NL,18,37,33,1,8,1,0,0,6,0,0,9,0,3,1,0,0,0,0.242,0.235,0.273,0.508,*1/H
85,Barry Zito\zitoba01,-0.2,2010,32,SFG,NL,34,66,51,1,6,0,0,0,2,1,0,17,0,14,0,0,0,0,0.118,0.135,0.118,0.252,*1
86,Ben Francisco\francbe01,0.4,2010,28,PHI,NL,88,197,179,24,48,13,0,6,28,14,1,35,2,1,1,6,8,0,0.268,0.327,0.441,0.768,*H79/D8
91,Bill Bray\braybi01,0.0,2010,27,CIN,NL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
93,Billy Buckner\bucknbi02,0.1,2010,26,ARI,NL,3,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.4,0.25,0.65,/*1
95,Billy Wagner\wagnebi02,0.0,2010,38,ATL,NL,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
