ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,A.J. Burnett\burnea.01,0.0,2008,31,TOR,AL,35,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,*1
3,A.J. Murray\murraaj01,0.0,2008,26,TEX,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
4,A.J. Pierzynski\pierza.01,0.9,2008,31,CHW,AL,134,570,534,66,150,31,1,13,60,19,5,71,8,3,6,14,1,0,0.281,0.312,0.416,0.728,*2/H
7,Aaron Cunningham\cunniaa01,0.5,2008,22,OAK,AL,22,87,80,7,20,7,1,1,14,6,1,24,1,0,0,1,2,0,0.25,0.31,0.4,0.71,*7/9H
10,Aaron Hill\hillaa01,0.6,2008,26,TOR,AL,55,229,205,19,54,14,0,2,20,16,0,31,3,4,1,4,4,2,0.263,0.324,0.361,0.685,*4
11,Aaron Laffey\laffeaa01,0.1,2008,23,CLE,AL,16,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,*1
17,Adam Everett\everead01,0.2,2008,31,MIN,AL,48,150,127,19,27,6,1,2,20,12,1,15,1,6,4,0,0,0,0.213,0.278,0.323,0.601,*6/HD4
18,Adam Jones\jonesad01,2.0,2008,22,BAL,AL,132,514,477,61,129,21,7,9,57,23,0,108,7,2,5,12,10,3,0.27,0.311,0.4,0.711,*8/H
21,Adam Lind\lindad01,0.2,2008,24,TOR,AL,88,349,326,48,92,16,4,9,40,16,3,59,2,1,4,8,2,0,0.282,0.316,0.439,0.755,*7D/H
22,Adam Loewen\loewead01,0.0,2008,24,BAL,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
26,Adam Russell\russead01,0.0,2008,25,CHW,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
28,Adrian Beltre\beltrad01,5.6,2008,29,SEA,AL,143,612,556,74,148,29,1,25,77,50,10,90,2,0,4,11,8,2,0.266,0.327,0.457,0.784,*5/DH
30,Akinori Iwamura\iwamuak01,3.1,2008,29,TBR,AL,152,707,627,91,172,30,9,6,48,70,3,131,4,3,3,2,8,6,0.274,0.349,0.38,0.729,*4
31,Alan Embree\embreal01,0.0,2008,38,OAK,AL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
34,Alberto Callaspo\callaal01,1.2,2008,25,KCR,AL,74,234,213,21,65,8,3,0,16,19,0,14,0,1,1,6,2,1,0.305,0.361,0.371,0.731,*46H/75
35,Alberto Castillo\castial02,0.0,2008,32,BAL,AL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
37,Alberto Reyes\reyesal01,0.0,2008,37,TBR,AL,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
39,Alex Cintron\cintral01,-1.2,2008,29,BAL,AL,61,144,133,12,38,5,1,1,10,7,0,15,0,4,0,5,0,2,0.286,0.321,0.361,0.682,*6H/543D
40,Alex Cora\coraal01,0.8,2008,32,BOS,AL,75,179,152,14,41,8,2,0,9,16,1,13,9,1,1,3,1,1,0.27,0.371,0.349,0.719,*6/H4
41,Alex Gordon\gordoal01,2.8,2008,24,KCR,AL,134,571,493,72,128,35,1,16,59,66,5,120,6,1,5,8,9,2,0.26,0.351,0.432,0.783,*5/D
43,Alex Rios\riosal01,5.9,2008,27,TOR,AL,155,687,635,91,185,47,8,15,79,44,2,112,2,0,5,20,32,8,0.291,0.337,0.461,0.798,*98/HD
44,Alex Rodriguez\rodrial01,6.8,2008,32,NYY,AL,138,594,510,104,154,33,0,35,103,65,9,117,14,0,5,16,18,3,0.302,0.392,0.573,0.965,*5/D
46,Alex Serrano\serraal01,0.0,2008,27,LAA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
47,Alexei Ramirez\ramiral03,1.5,2008,26,CHW,AL,136,509,480,65,139,22,2,21,77,18,3,61,3,4,4,14,13,9,0.29,0.317,0.475,0.792,*468/HD5
48,Alexi Casilla\casilal01,1.4,2008,23,MIN,AL,98,437,385,58,108,15,0,7,50,31,0,45,2,13,6,7,7,2,0.281,0.333,0.374,0.707,*4/6HD
50,Alfredo Aceves\aceveal01,0.0,2008,25,NYY,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
52,Alfredo Simon\simonal01,0.0,2008,27,BAL,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
55,Andrew Brown\brownan01,0.0,2008,27,OAK,AL,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
58,Andy Cannizaro\cannian01,0.0,2008,29,TBR,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/*6
59,Andy Gonzalez\gonzaan01,-0.2,2008,26,CLE,AL,10,30,24,3,5,0,0,1,2,6,0,5,0,0,0,1,0,1,0.208,0.367,0.333,0.7,/*3H5D
61,Andy Marte\martean01,-0.3,2008,24,CLE,AL,80,257,235,21,52,11,1,3,17,14,0,52,1,7,0,5,1,2,0.221,0.268,0.315,0.583,*5/H3D
62,Andy Pettitte\pettian01,0.0,2008,36,NYY,AL,33,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,*1
64,Andy Sonnanstine\sonnaan01,0.2,2008,25,TBR,AL,32,9,5,2,2,0,0,0,0,2,0,3,0,2,0,0,0,0,0.4,0.571,0.4,0.971,*1
72,Aquilino Lopez\lopezaq01,0.0,2008,33,DET,AL,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
75,Armando Benitez\benitar01,0.0,2008,35,TOR,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
76,Armando Galarraga\galarar01,0.1,2008,26,DET,AL,30,6,2,2,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0.0,0.6,0.0,0.6,*1
78,Asdrubal Cabrera\cabreas01,3.0,2008,22,CLE,AL,114,418,352,48,91,20,0,6,47,46,2,77,4,11,5,8,4,4,0.259,0.346,0.366,0.713,*46/HD
79,Aubrey Huff\huffau01,4.1,2008,31,BAL,AL,154,661,598,96,182,48,2,32,108,53,7,89,3,0,7,9,4,0,0.304,0.36,0.552,0.912,*D53/H
82,B.J. Ryan\ryanb.01,0.0,2008,32,TOR,AL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
84,Bartolo Colon\colonba01,0.0,2008,35,BOS,AL,7,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,/*1
85,Ben Broussard\brousbe01,-1.0,2008,31,TEX,AL,26,89,82,8,13,0,0,3,8,5,1,20,2,0,0,2,0,0,0.159,0.225,0.268,0.493,*3/H
86,Ben Francisco\francbe01,2.3,2008,26,CLE,AL,121,499,447,65,119,32,0,15,54,40,0,86,6,2,4,10,4,3,0.266,0.332,0.438,0.77,*79DH/8
88,Ben Zobrist\zobribe01,0.9,2008,27,TBR,AL,62,227,198,32,50,10,2,12,30,25,1,37,2,0,2,4,3,0,0.253,0.339,0.505,0.844,*67H/489D5
92,Bill White\whitebi04,0.0,2008,29,TEX,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
94,Billy Butler\butlebi03,-0.4,2008,22,KCR,AL,124,478,443,44,122,22,0,11,55,33,0,57,0,0,2,23,0,1,0.275,0.324,0.4,0.724,*D3/H
96,Billy Traber\trabebi01,0.0,2008,28,NYY,AL,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
101,Bob McCrory\mccrobo01,0.0,2008,26,BAL,AL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
102,Bobby Abreu\abreubo01,2.7,2008,34,NYY,AL,156,684,609,100,180,39,4,20,100,73,2,109,1,0,1,14,22,11,0.296,0.371,0.471,0.843,*9/HD
103,Bobby Crosby\crosbbo01,1.0,2008,28,OAK,AL,145,605,556,66,132,39,1,7,61,47,0,96,0,0,2,18,7,3,0.237,0.296,0.349,0.645,*6/H
104,Bobby Jenks\jenksbo01,0.0,2008,27,CHW,AL,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
105,Bobby Korecky\korecbo01,0.1,2008,28,MIN,AL,16,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,*1
107,Bobby Seay\seaybo01,0.0,2008,30,DET,AL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
108,Bobby Wilson\wilsobo02,0.0,2008,25,LAA,AL,7,7,6,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0.167,0.286,0.167,0.452,/*2
109,Boof Bonser\bonsebo01,0.0,2008,26,MIN,AL,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
