ID,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,A.J. Burnett\burnea.01,-0.4,2013,36,PIT,NL,30,67,59,1,4,0,0,0,2,2,0,33,0,6,0,2,0,0,0.068,0.098,0.068,0.166,*1
2,A.J. Ellis\ellisaj01,2.3,2013,32,LAD,NL,115,448,390,43,93,17,1,10,52,45,1,78,3,4,6,11,0,2,0.238,0.318,0.364,0.682,*2/H
5,A.J. Pollock\polloaj01,3.5,2013,25,ARI,NL,137,482,443,64,119,28,5,8,38,33,1,82,2,3,1,5,12,3,0.269,0.322,0.409,0.73,*8H/79
6,A.J. Ramos\ramosaj01,0.0,2013,26,MIA,NL,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
10,Aaron Hill\hillaa01,1.1,2013,31,ARI,NL,87,362,327,45,95,21,1,11,41,29,2,48,5,0,1,6,1,4,0.291,0.356,0.462,0.818,*4/H
15,Adam Eaton\eatonad02,-0.1,2013,24,ARI,NL,66,277,250,40,63,10,4,3,22,17,0,44,6,3,1,4,5,2,0.252,0.314,0.36,0.674,*78/H9D
17,Adam LaRoche\larocad01,0.8,2013,33,WSN,NL,152,590,511,70,121,19,3,20,62,72,10,131,3,0,4,13,4,1,0.237,0.332,0.403,0.735,*3/HD
20,Adam Ottavino\ottavad01,0.1,2013,27,COL,NL,51,9,9,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.111,0.111,0.111,0.222,*1
22,Adam Wainwright\wainwad01,0.2,2013,31,STL,NL,35,81,71,4,15,4,0,0,6,0,0,23,0,9,1,2,0,0,0.211,0.208,0.268,0.476,*1/H
25,Adeiny Hechavarria\hechaad01,-2.1,2013,24,MIA,NL,148,578,543,30,123,14,8,3,42,30,1,96,0,4,1,19,11,10,0.227,0.267,0.298,0.565,*6/H
27,Adrian Gonzalez\gonzaad01,3.9,2013,31,LAD,NL,157,641,583,69,171,32,0,22,100,47,6,98,1,0,10,12,1,0,0.293,0.342,0.461,0.803,*3/HD
28,Adron Chambers\chambad01,-0.5,2013,26,STL,NL,25,29,26,5,4,1,0,0,1,3,2,11,0,0,0,0,0,1,0.154,0.241,0.192,0.434,*H7/9
31,Alberto Cabrera\cabreal03,0.0,2013,24,CHC,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
38,Alex Castellanos\casteal01,-0.3,2013,26,LAD,NL,8,18,18,2,3,1,0,1,1,0,0,5,0,0,0,0,0,0,0.167,0.167,0.389,0.556,/*97H
41,Alex Gonzalez\gonzaal02,-1.0,2013,36,MIL,NL,41,118,113,14,20,3,0,1,8,3,0,26,1,0,1,1,0,0,0.177,0.203,0.23,0.433,*3H5/6
47,Alex Sanabia\sanabal01,-0.1,2013,24,MIA,NL,10,18,16,1,1,0,0,0,0,1,0,7,0,1,0,0,0,0,0.063,0.118,0.063,0.18,*1
50,Alex Wood\woodal02,-0.3,2013,22,ATL,NL,31,22,21,1,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0.0,0.0,0.0,0.0,*1
52,Alexi Amarista\amarial01,0.0,2013,24,SDP,NL,146,396,368,35,87,14,4,5,32,22,1,57,2,3,1,7,4,2,0.236,0.282,0.337,0.619,*8H467/5
57,Alfredo Figaro\figaral01,0.1,2013,28,MIL,NL,33,12,12,1,3,0,0,0,2,0,0,5,0,0,0,0,0,0,0.25,0.25,0.25,0.5,*1
